,mRNA_name,mRNA_score,mRNA_label
597,COX7A2L,0.9997813105583191,1.0
598,GADD45A,0.9997813105583191,0.0
599,LAMC1,0.9997813105583191,0.0
600,CCDC80,0.9997811913490295,0.0
601,BAMBI,0.9997811913490295,0.0
602,PDLIM2,0.9997811913490295,0.0
603,COL6A2,0.99978107213974,0.0
604,SLC23A3,0.9997809529304504,0.0
605,LINGO2,0.9997809529304504,0.0
606,NR1I2,0.9997809529304504,0.0
607,BDNF,0.9997808337211609,0.0
608,RLF,0.9997808337211609,1.0
609,ADAMTS19,0.9997808337211609,0.0
610,POLR3D,0.9997807145118713,0.0
611,RANBP2,0.9997807145118713,0.0
612,SUCNR1,0.9997805953025818,0.0
613,TTLL7,0.9997805953025818,0.0
614,OVCH2,0.9997803568840027,0.0
615,ESAM,0.9997802376747131,0.0
616,TLR4,0.9997801184654236,0.0
617,NHLRC4,0.999779999256134,1.0
618,KDR,0.999779999256134,0.0
619,MFHAS1,0.9997798800468445,0.0
620,WNK4,0.9997798800468445,1.0
621,FAM214A,0.9997796416282654,0.0
622,ARMH4,0.9997795224189758,0.0
623,KLC1,0.9997794032096863,0.0
624,NAMPT,0.9997794032096863,0.0
625,NRGN,0.9997792840003967,0.0
626,TNXB,0.9997792840003967,0.0
627,NRBF2,0.9997789263725281,0.0
628,LPCAT1,0.9997788071632385,0.0
629,ISCA1,0.9997788071632385,0.0
630,SIRT1,0.9997788071632385,0.0
631,HDAC4,0.999778687953949,0.0
632,GNG11,0.999778687953949,0.0
633,DICER1,0.9997785687446594,0.0
634,NPC1L1,0.9997785687446594,0.0
635,NPAS3,0.9997785687446594,0.0
636,C16orf70,0.9997785687446594,0.0
637,ABCA3,0.9997784495353699,0.0
638,COG2,0.9997784495353699,0.0
639,SOX7,0.9997783303260803,0.0
640,GIGYF1,0.9997783303260803,0.0
641,CCR2,0.9997780919075012,0.0
642,BAG2,0.9997779726982117,0.0
643,CTSD,0.9997779726982117,0.0
644,SNRNP35,0.9997779726982117,0.0
645,SUPT16H,0.9997779726982117,0.0
646,PI15,0.9997778534889221,0.0
647,EIF5,0.9997777342796326,0.0
648,HSD17B14,0.9997777342796326,0.0
649,LAMC3,0.9997774958610535,0.0
650,MYADM,0.9997774958610535,0.0
651,FAIM2,0.9997773766517639,0.0
652,CCDC81,0.9997771382331848,0.0
653,CFAP43,0.9997771382331848,0.0
654,JAK2,0.9997771382331848,1.0
655,PAXBP1,0.9997771382331848,0.0
656,DCN,0.9997771382331848,0.0
657,MAPK8,0.9997771382331848,0.0
658,EIF1,0.9997770190238953,0.0
659,MMD,0.9997770190238953,0.0
660,LIMD1,0.9997770190238953,0.0
661,CTSB,0.9997770190238953,0.0
662,TAF9B,0.9997768998146057,1.0
663,CCNY,0.9997768998146057,0.0
664,FHOD1,0.9997768998146057,0.0
665,ADGRL3,0.9997767806053162,0.0
666,RHOJ,0.9997767806053162,0.0
667,CXXC5,0.9997767806053162,0.0
668,BEST3,0.9997766613960266,0.0
